1,US,96,California
2,Spain,96,Northern Spain
3,US,96,California
4,US,96,Oregon
5,France,95,Provence
6,Spain,95,Northern Spain
7,Spain,95,Northern Spain
8,Spain,95,Northern Spain
9,US,95,Oregon
10,US,95,California
11,Italy,95,Northeastern Italy
12,US,95,Oregon
13,US,95,Oregon
14,France,95,Southwest France
15,US,95,Oregon
16,US,95,Oregon
17,US,95,California
18,Spain,95,Northern Spain
19,France,95,Southwest France
20,US,95,California
21,US,95,California
22,Spain,95,Northern Spain
23,Spain,95,Northern Spain
24,US,95,California
25,US,95,California
26,New Zealand,94,Kumeu
27,US,94,Oregon
28,US,94,Oregon
29,US,94,California
30,US,94,Washington
31,Bulgaria,90,Bulgaria
32,US,90,California
33,Italy,90,Tuscany
34,France,90,France Other
35,US,90,Washington
36,Italy,90,Tuscany
37,France,90,Rhône Valley
38,Italy,90,Tuscany
39,Italy,90,Tuscany
40,Italy,90,Tuscany
41,Spain,90,Galicia
42,Spain,90,Andalucia
43,US,90,Idaho
44,Italy,90,Tuscany
45,France,90,Rhône Valley
46,Italy,90,Tuscany
47,Italy,90,Tuscany
48,US,90,California
49,Italy,90,Tuscany
50,US,90,Washington
51,Italy,90,Tuscany
52,France,90,Burgundy
53,France,90,Loire Valley
54,France,90,Loire Valley
55,US,90,California
56,US,90,Washington
57,France,90,Loire Valley
58,US,90,New York
59,US,90,Washington
60,Italy,90,Tuscany
61,Argentina,91,Mendoza Province
62,Australia,91,Victoria
63,Argentina,91,Mendoza Province
64,France,91,Burgundy
65,Portugal,91,Alentejano
66,US,91,California
67,France,91,Burgundy
68,US,91,California
69,US,91,Oregon
70,US,91,California
71,US,91,California
72,US,91,California
73,Italy,91,Piedmont
74,US,91,Oregon
75,Portugal,91,Alentejo
76,US,91,Oregon
77,France,91,Champagne
78,US,91,California
79,US,91,California
80,Italy,91,Piedmont
81,US,91,Oregon
82,Israel,91,Upper Galilee
83,Italy,91,Piedmont
84,Italy,91,Piedmont
85,Italy,91,Piedmont
86,Italy,91,Piedmont
87,France,91,Burgundy
88,US,91,California
89,US,91,California
90,US,91,California
91,US,86,California
92,Portugal,86,Beira Atlantico
93,Italy,86,Veneto
94,US,86,California
95,Portugal,86,Douro
96,France,86,Southwest France
97,US,86,California
98,US,86,California
99,France,86,Southwest France
100,France,86,Southwest France
101,US,86,California
102,US,86,California
103,Italy,86,Tuscany
104,US,86,California
105,US,86,California
106,US,86,Washington
107,US,86,California
108,US,86,California
109,US,86,California
110,US,86,California
111,Portugal,86,Tejo
112,Argentina,86,Mendoza Province
113,US,86,California
114,US,86,New York
115,South Africa,86,Stellenbosch
116,Argentina,86,Mendoza Province
117,Spain,86,Levante
118,France,86,Southwest France
119,France,86,Southwest France
